feature,importance
DriverId_bottas,0.0
FP3_MaxStint_WET,0.0
Abbreviation_LAW,0.0
CountryCode_FIN,0.0
CountryCode_DEN,0.0
CountryCode_CHN,0.0
Abbreviation_MAG,0.0
CountryCode_ARG,0.0
Abbreviation_OCO,0.0
TeamName_Racing Bulls,0.0
Abbreviation_PIA,0.0
Abbreviation_SAR,0.0
DriverId_zhou,0.0
Abbreviation_STR,0.0
Abbreviation_TSU,0.0
DriverId_tsunoda,0.0
DriverId_stroll,0.0
DriverId_max_verstappen,0.0
EventName_Canadian Grand Prix,0.0
Location_Budapest,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS HUNGARIAN GRAND PRIX 2023,0.0
FP1_Driver_COL,0.0
FP1_Driver_DEV,0.0
FP1_Driver_DOO,0.0
OfficialEventName_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,0.0
FP1_Driver_HAD,0.0
OfficialEventName_FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2023 ,0.0
OfficialEventName_FORMULA 1 ROLEX GROSSER PREIS VON ÖSTERREICH 2023,0.0
OfficialEventName_FORMULA 1 ROLEX GRANDE PRÊMIO DE SÃO PAULO 2023,0.0
OfficialEventName_FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,0.0
FP2_Driver_LAW,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024,0.0
FP1_Driver_ZHO,0.0
OfficialEventName_FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,0.0
OfficialEventName_FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2023,0.0
FP2_Driver_ANT,0.0
FP2_Driver_BEA,0.0
FP2_Driver_COL,0.0
FP2_Driver_DEV,0.0
FP2_Driver_DOO,0.0
OfficialEventName_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,0.0
FP2_Driver_HAD,0.0
OfficialEventName_FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2023 ,0.0
OfficialEventName_FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2023,0.0
FP1_Driver_BOR,0.0
FP1_Driver_BEA,0.0
FP1_Driver_ANT,0.0
EventName_Dutch Grand Prix,0.0
EventName_Emilia Romagna Grand Prix,0.0
EventName_Hungarian Grand Prix,0.0
EventName_Italian Grand Prix,0.0
EventName_Japanese Grand Prix,0.0
EventName_Las Vegas Grand Prix,0.0
EventName_Mexico City Grand Prix,0.0
EventName_Miami Grand Prix,0.0
EventName_Monaco Grand Prix,0.0
EventName_Saudi Arabian Grand Prix,0.0
EventName_Singapore Grand Prix,0.0
EventName_Spanish Grand Prix,0.0
EventName_São Paulo Grand Prix,0.0
EventName_United States Grand Prix,0.0
EventName_British Grand Prix,0.0
EventName_Belgian Grand Prix,0.0
