feature,importance
BroadcastName_E OCON,0.0
BroadcastName_F ALONSO,0.0
BroadcastName_F COLAPINTO,0.0
Quali_Red,0.0
Quali_FastestSpeedOnTyre_HARD,0.0
Quali_FastestLapTimeOnTyre_WET,0.0
Quali_FastestLapTimeOnTyre_UNKNOWN,0.0
BroadcastName_L STROLL,0.0
Quali_AirTemp_min,0.0
FP3_FastestSpeedOnTyre_INTERMEDIATE,0.0
FP3_AvgSpeedOnTyre_WET,0.0
Quali_FastestLapTimeOnTyre_INTERMEDIATE,0.0
BroadcastName_K MAGNUSSEN,0.0
BroadcastName_J DOOHAN,0.0
Quali_AvgSpeedOnTyre_WET,0.0
Abbreviation_COL,0.0
BroadcastName_G RUSSELL,0.0
FP2_AirTemp_max,0.0
BroadcastName_S PEREZ,0.0
Abbreviation_GAS,0.0
Quali_MaxStint_MEDIUM,0.0
FP3_Pressure_max,0.0
Abbreviation_DOO,0.0
Quali_Pressure_max,0.0
Quali_MaxStint_INTERMEDIATE,0.0
Abbreviation_DEV,0.0
Quali_MaxStint_HARD,0.0
BroadcastName_V BOTTAS,0.0
BroadcastName_G ZHOU,0.0
FP3_MaxStint_WET,0.0
Abbreviation_ALB,0.0
FP2_MaxStint_HARD,0.0
FP2_Yellow,0.0
FP2_VSCDeployed,0.0
FP2_SCDeployed,0.0
BroadcastName_I HADJAR,0.0
FP2_Red,0.0
Abbreviation_BOT,0.0
Abbreviation_ALO,0.0
Abbreviation_ANT,0.0
FP2_FastestSpeedOnTyre_INTERMEDIATE,0.0
Abbreviation_BOR,0.0
BroadcastName_L LAWSON,0.0
Abbreviation_HAD,0.0
FP1_VSCDeployed,0.0
FP1_SCDeployed,0.0
BroadcastName_N HULKENBERG,0.0
FP3_MaxStint_INTERMEDIATE,0.0
FP1_AvgTyreLife_WET,0.0
Quali_AvgSpeedOnTyre_UNKNOWN,0.0
Abbreviation_BEA,0.0
FP1_AvgSpeedOnTyre_INTERMEDIATE,0.0
BroadcastName_O BEARMAN,0.0
Quali_AvgSpeedOnTyre_INTERMEDIATE,0.0
Quali_AvgTyreLife_WET,0.0
FP1_AvgSpeedOnTyre_WET,0.0
Quali_AvgTyreLife_UNKNOWN,0.0
Quali_AvgTyreLife_MEDIUM,0.0
FP1_FastestSpeedOnTyre_INTERMEDIATE,0.0
BroadcastName_G BORTOLETO,0.0
FP1_FastestSpeedOnTyre_WET,0.0
Quali_AvgTyreLife_HARD,0.0
FP1_AvgLapTimeOnTyre_INTERMEDIATE,0.0
Quali_MaxStint_WET,0.0
Abbreviation_HAM,0.0
Quali_MaxStint_UNKNOWN,0.0
FP1_FastestLapTimeOnTyre_INTERMEDIATE,0.0
BroadcastName_O PIASTRI,0.0
BroadcastName_P GASLY,0.0
FP1_FastestLapTimeOnTyre_WET,0.0
BroadcastName_K ANTONELLI,0.0
FP3_FastestLapTimeOnTyre_WET,0.0
DriverId_norris,0.0
FP1_Pressure_max,0.0
Country_Mexico,0.0
Location_Baku,0.0
Location_Austin,0.0
Country_United States,0.0
Country_United Kingdom,0.0
Country_United Arab Emirates,0.0
Country_Spain,0.0
Country_Singapore,0.0
Country_Saudi Arabia,0.0
Country_Qatar,0.0
Country_Netherlands,0.0
Country_Monaco,0.0
Country_Japan,0.0
Status_Withdrew,0.0
Country_Italy,0.0
Country_Hungary,0.0
Country_Great Britain,0.0
Country_China,0.0
Country_Canada,0.0
Country_Brazil,0.0
Country_Belgium,0.0
Country_Bahrain,0.0
Country_Azerbaijan,0.0
Country_Austria,0.0
Country_Australia,0.0
Location_Barcelona,0.0
Location_Budapest,0.0
Location_Imola,0.0
Location_Jeddah,0.0
OfficialEventName_FORMULA 1 AZERBAIJAN GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 AWS GRAND PRIX DU CANADA 2024,0.0
OfficialEventName_FORMULA 1 AWS GRAN PREMIO DE ESPAÑA 2023,0.0
OfficialEventName_FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024,0.0
OfficialEventName_FORMULA 1 ARAMCO BRITISH GRAND PRIX 2023,0.0
Location_Zandvoort,0.0
Location_Yas Island,0.0
Location_São Paulo,0.0
Location_Suzuka,0.0
Location_Spielberg,0.0
Location_Spa-Francorchamps,0.0
Location_Silverstone,0.0
Location_Shanghai,0.0
Location_Sakhir,0.0
Location_Monza,0.0
Location_Montréal,0.0
Location_Monaco,0.0
Location_Miami,0.0
Location_Mexico City,0.0
Location_Melbourne,0.0
Location_Marina Bay,0.0
Location_Lusail,0.0
Location_Las Vegas,0.0
Country_Abu Dhabi,0.0
DriverId_de_vries,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024,0.0
DriverId_max_verstappen,0.0
TeamId_alpine,0.0
TeamId_alphatauri,0.0
TeamId_alfa,0.0
TeamName_Williams,0.0
TeamName_Red Bull Racing,0.0
TeamName_Racing Bulls,0.0
TeamName_RB,0.0
DriverId_kevin_magnussen,0.0
TeamName_McLaren,0.0
DriverId_lawson,0.0
DriverId_leclerc,0.0
TeamName_Aston Martin,0.0
DriverId_doohan,0.0
TeamName_AlphaTauri,0.0
TeamName_Alfa Romeo,0.0
DriverId_zhou,0.0
DriverId_tsunoda,0.0
DriverId_stroll,0.0
DriverId_sargeant,0.0
DriverId_sainz,0.0
DriverId_russell,0.0
DriverId_ricciardo,0.0
DriverId_piastri,0.0
DriverId_perez,0.0
DriverId_hulkenberg,0.0
TeamId_haas,0.0
TeamId_mclaren,0.0
TeamId_mercedes,0.0
DriverId_gasly,0.0
Status_Disqualified,0.0
Status_Did not start,0.0
Status_Collision damage,0.0
Status_Accident,0.0
CountryCode_USA,0.0
CountryCode_THA,0.0
CountryCode_NZL,0.0
DriverId_hadjar,0.0
CountryCode_MON,0.0
CountryCode_MEX,0.0
CountryCode_JPN,0.0
CountryCode_GER,0.0
DriverId_hamilton,0.0
CountryCode_FIN,0.0
CountryCode_DEN,0.0
CountryCode_CHN,0.0
CountryCode_CAN,0.0
CountryCode_ARG,0.0
TeamId_williams,0.0
TeamId_sauber,0.0
TeamId_red_bull,0.0
TeamId_rb,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2023,0.0
OfficialEventName_FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,0.0
Abbreviation_LAW,0.0
DriverId_colapinto,0.0
Session4TimeOfDay_afternoon,0.0
Session3TimeOfDay_morning,0.0
Session3TimeOfDay_evening,0.0
Session3TimeOfDay_afternoon,0.0
Session2TimeOfDay_night,0.0
Session2TimeOfDay_afternoon,0.0
Session1TimeOfDay_morning,0.0
Session1TimeOfDay_evening,0.0
Session1TimeOfDay_afternoon,0.0
EventFormat_sprint_shootout,0.0
EventFormat_sprint_qualifying,0.0
EventName_United States Grand Prix,0.0
EventName_Emilia Romagna Grand Prix,0.0
EventName_São Paulo Grand Prix,0.0
EventName_Spanish Grand Prix,0.0
EventName_Singapore Grand Prix,0.0
EventName_Saudi Arabian Grand Prix,0.0
EventName_Qatar Grand Prix,0.0
EventName_Monaco Grand Prix,0.0
EventName_Miami Grand Prix,0.0
EventName_Mexico City Grand Prix,0.0
EventName_Las Vegas Grand Prix,0.0
EventName_Japanese Grand Prix,0.0
EventName_Italian Grand Prix,0.0
Session4TimeOfDay_evening,0.0
Session4TimeOfDay_morning,0.0
Session4TimeOfDay_night,0.0
DriverId_bottas,0.0
Abbreviation_LEC,0.0
Abbreviation_MAG,0.0
Abbreviation_NOR,0.0
Abbreviation_OCO,0.0
Abbreviation_PER,0.0
Abbreviation_PIA,0.0
Abbreviation_RIC,0.0
DriverId_ocon,0.0
Abbreviation_SAI,0.0
Abbreviation_SAR,0.0
Abbreviation_STR,0.0
Abbreviation_VER,0.0
Abbreviation_ZHO,0.0
DriverId_albon,0.0
DriverId_alonso,0.0
RACE_Pressure_min,0.0
BroadcastName_A ANTONELLI,0.0
DriverId_antonelli,0.0
DriverId_bearman,0.0
RACEYEAR,0.0
DriverId_bortoleto,0.0
Session5TimeOfDay_night,0.0
Session5TimeOfDay_evening,0.0
EventName_Hungarian Grand Prix,0.0
EventName_Dutch Grand Prix,0.0
OfficialEventName_FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2023 ,0.0
OfficialEventName_FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,0.0
