,RACEYEAR,RACENUMBER,FP3_AirTemp_mean,FP3_AirTemp_min,FP3_AirTemp_max,FP3_Humidity_mean,FP3_Humidity_min,FP3_Humidity_max,FP3_Pressure_mean,FP3_Pressure_min,FP3_Pressure_max,FP3_Rainfall_max,FP3_TrackTemp_mean,FP3_TrackTemp_min,FP3_TrackTemp_max,FP3_WindDirection_mean,FP3_WindSpeed_mean,FP3_WindSpeed_max,Driver,AvgPitStopDuration_ms,TotalPitStops,FP3_MaxStint_HARD,FP3_MaxStint_INTERMEDIATE,FP3_MaxStint_MEDIUM,FP3_MaxStint_SOFT,FP3_MaxStint_UNKNOWN,FP3_MaxStint_WET,FP3_AvgTyreLife_HARD,FP3_AvgTyreLife_INTERMEDIATE,FP3_AvgTyreLife_MEDIUM,FP3_AvgTyreLife_SOFT,FP3_AvgTyreLife_UNKNOWN,FP3_AvgTyreLife_WET,FP3_AvgSpeedOnTyre_HARD,FP3_AvgSpeedOnTyre_INTERMEDIATE,FP3_AvgSpeedOnTyre_MEDIUM,FP3_AvgSpeedOnTyre_SOFT,FP3_AvgSpeedOnTyre_UNKNOWN,FP3_AvgSpeedOnTyre_WET,FP3_FastestSpeedOnTyre_HARD,FP3_FastestSpeedOnTyre_INTERMEDIATE,FP3_FastestSpeedOnTyre_MEDIUM,FP3_FastestSpeedOnTyre_SOFT,FP3_FastestSpeedOnTyre_UNKNOWN,FP3_FastestSpeedOnTyre_WET,FP3_AvgLapTimeOnTyre_HARD,FP3_AvgLapTimeOnTyre_INTERMEDIATE,FP3_AvgLapTimeOnTyre_MEDIUM,FP3_AvgLapTimeOnTyre_SOFT,FP3_AvgLapTimeOnTyre_UNKNOWN,FP3_AvgLapTimeOnTyre_WET,FP3_FastestLapTimeOnTyre_HARD,FP3_FastestLapTimeOnTyre_INTERMEDIATE,FP3_FastestLapTimeOnTyre_MEDIUM,FP3_FastestLapTimeOnTyre_SOFT,FP3_FastestLapTimeOnTyre_UNKNOWN,FP3_FastestLapTimeOnTyre_WET,FP3_Red,FP3_SCDeployed,FP3_VSCDeployed,FP3_Yellow
38,2023,2,27.070731707317076,26.8,27.5,57.46341463414634,54.0,61.0,1008.9499999999999,1008.7,1009.2,False,40.171951219512195,37.0,43.5,332.4390243902439,3.5353658536585364,5.5,ZHO,454612.5,2,,,,3.0,,,,,,5.666666666666667,,,,,,278.8,,,,,,301.0,,,,,,107778.4,,,,,,89917.0,,,0,0,0,0
39,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,ALB,224568.66666666666,3,,,,3.0,,,,,,4.764705882352941,,,,,,301.05882352941177,,,,,,305.0,,,,,,97734.17647058824,,,,,,78553.0,,,1,0,0,6
40,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,ALO,279654.3999999999,5,,,,6.0,,,,,,6.05,,,,,,279.45,,,,,,304.0,,,,,,92983.55,,,,,,77727.0,,,1,0,0,6
41,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,BOT,245377.0,5,,,1.0,6.0,,,,,3.5,7.833333333333333,,,,,295.3333333333333,292.0,,,,,297.0,301.0,,,,,90240.33333333333,88847.83333333333,,,,,80280.0,78809.0,,,1,0,0,6
42,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,DEV,175352.25,4,,,,4.0,,,,,,5.055555555555555,,,,,,294.1666666666667,,,,,,301.0,,,,,,93341.11111111111,,,,,,79092.0,,,1,0,0,6
43,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,GAS,488006.5,2,,,,3.0,,,,,,6.2,,,,,,283.9,,,,,,308.0,,,,,,96121.0,,,,,,78094.0,,,1,0,0,6
44,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,HAM,512459.5,2,,,,2.0,,,,,,6.409090909090909,,,,,,297.27272727272725,,,,,,307.0,,,,,,89938.81818181818,,,,,,78138.0,,,1,0,0,6
45,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,HUL,791798.5,2,,,2.0,3.0,,,,,7.615384615384615,4.5,,,,,290.3076923076923,257.625,,,,,300.0,307.0,,,,,87051.0,100570.25,,,,,80048.0,78410.0,,,1,0,0,6
46,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,LEC,354905.3333333333,3,,,4.0,3.0,,,,,4.0,9.705882352941176,,,,,255.85714285714286,291.70588235294116,,,,,301.0,305.0,,,,,110674.28571428571,91904.64705882352,,,,,79337.0,78691.0,,,1,0,0,6
47,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,MAG,649731.0,2,,,2.0,3.0,,,,,8.6,4.5,,,,,287.73333333333335,256.25,,,,,300.0,305.0,,,,,91352.46666666666,102814.0,,,,,80024.0,79056.0,,,1,0,0,6
48,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,OCO,582004.9999999998,2,,,,3.0,,,,,,7.6,,,,,,280.15,,,,,,305.0,,,,,,94311.75,,,,,,77938.0,,,1,0,0,6
49,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,PER,338588.0,2,,,,3.0,,,,,,4.642857142857143,,,,,,300.0,,,,,,310.0,,,,,,97827.64285714286,,,,,,78123.0,,,1,0,0,6
50,2023,3,14.895238095238096,14.0,15.5,59.654761904761905,56.0,64.0,1019.4571428571428,1019.2,1019.7,True,23.510714285714286,20.5,26.1,131.42857142857142,1.4059523809523808,2.9,PIA,461937.5,2,,,,2.0,,,,,,4.882352941176471,,,,,,295.5882352941176,,,,,,303.0,,,,,,93138.17647058824,,,,,,78713.0,,,1,0,0,6
